symbol,ann_returns,ann_vol,ann_daily_variation,ann_max_drawdown,sharpe_ratio,beta,clusters
AJG,0.08922292949193619,0.026573692260168175,0.13572019170448105,0.03187281764528063,0.8635946516146669,0.35227132220847207,0
AKAM,0.03734176201960909,0.2045482520686998,0.22504093620067947,0.32704334226937715,0.479088163577309,0.45790826527643363,2
ALB,0.06337966024104058,0.23458518097782344,0.293690243403099,0.5722461330185006,0.3190155576183189,0.6293899651080468,1
ALGN,0.2300979570134881,0.3736265044856657,0.38881521008474507,0.5492492965067859,0.6988605188286179,0.6212201205285626,1
ALK,0.015190863152661244,0.19021537316888482,0.27656141296678516,0.41610946960884265,0.2822903775695393,0.3858714354116451,2
ALL,0.059248487690600565,0.045033075412264895,0.13742460125739456,0.18767676718826176,0.6863780066177119,0.3147328801553142,0
ALLE,0.09179322253572089,0.08259551515419689,0.18740983740011538,0.11690428277735895,0.7632637622616595,0.3628220860698042,0
AMAT,0.09495251802142288,0.26793531908332996,0.31397335065559506,0.5066034192470388,0.6246764823035915,0.6740747760555924,1
AMCR,0.025600285211820145,0.08244377824965077,0.0,0.23048210412894965,0.43014634349445124,0.25802780034976924,2
AMD,0.24371566663990277,0.5735872158143038,0.5740011949557231,0.4698031011039129,0.7237615164816057,1.0,1
AME,0.09954483841986259,0.0662789727851629,0.15657524427528577,0.15580968919986182,0.8270398909066583,0.4607855647821041,0
AMGN,0.0722964940046241,0.09263661530224182,0.19959646628747216,0.11796947729667298,0.6732565059644355,0.3164658473116495,0
AMP,0.0642712387847992,0.15094330046079085,0.23370277263825937,0.42207661244302896,0.5931844880743518,0.6228854463215159,1
AMT,0.12237510802682047,0.05912126751911559,0.17991467675544176,0.0645480445882034,0.8990498075589928,0.11522774972307404,0
AMZN,0.1452718068693802,0.17740545226579973,0.21494875538563116,0.2950293340755974,0.7688040738324606,0.5451004820024353,0
ANET,0.19020432666972933,0.3901080707418946,0.3556039486499023,0.4055900562896936,0.6004464023468936,0.5621916749742397,1
ANSS,0.15047361603643508,0.12855006605562713,0.23120037163164633,0.22172842598477926,0.8777904029556587,0.5580841949376755,0
AON,0.08722680473581787,0.04288833069088649,0.14363043819486618,0.0958143100179733,0.8143799212879241,0.38134857511227493,0
AOS,0.04423011518313777,0.11811520829361266,0.21574908844870147,0.3514455743682469,0.3839836026965696,0.4464739418329789,2
APA,0.00043901570843998816,0.34401687123765556,0.4104551766197292,0.6988974741777682,0.14938242272702934,0.6880608242272845,1
APD,0.07609556067001871,0.05470476281585329,0.1486062857174557,0.045085534352258566,0.709490222658485,0.3609748921258307,0
APH,0.0642824309080236,0.06333140225347136,0.1462392053267038,0.15713871948551283,0.6789498271591554,0.5000072834493703,0
APTV,0.08007038080771525,0.18816339820815714,0.25386911379626476,0.38266648222582056,0.5999260880929875,0.6363506779324904,1
ARE,0.05787637202338741,0.043289354262785046,0.15981845742411532,0.07568101423669082,0.6778091080741381,0.23308863250109058,0
ATO,0.06128157978218762,0.014393305815795898,0.14104702776939923,0.07784188665105085,0.7268872617234499,0.14324874072392768,0
ATVI,0.11582901604356766,0.2687889571426719,0.3206387566813764,0.5022546742995615,0.5538324750355869,0.5646233373689861,1
AVB,0.037653368783704955,0.023154076796647827,0.1545425825992525,0.14098100490509585,0.5560432320951865,0.17750510923056564,0
AVGO,0.09362795059015191,0.21020317746082395,0.2697502606965131,0.2049951842955176,0.6433646362052416,0.5529175185494549,0
AVY,0.093414619088166,0.0937945184558448,0.17132700414691238,0.2516235085947557,0.739545898426602,0.4356848989436073,0
AWK,0.08356051401518516,0.027195216233828534,0.14864096846911054,0.09719876607557645,0.7890385822318031,0.08673352306185406,0
AXP,0.07388878435480178,0.06520385910601328,0.148906782314106,0.13918179720811052,0.709408508841132,0.446572709842134,0
AZO,0.05659742792543124,0.14643043449251997,0.24016402835206782,0.33882903466467085,0.5621050031540172,0.29196208727862677,2
BA,0.16245295085816672,0.1671384738634849,0.226284672501587,0.20539228108079094,0.7389163826029579,0.40403625985848507,0
BAC,0.06491188425716604,0.1222544133515529,0.20626651796535203,0.24464414279111352,0.6194297803107951,0.5157541163092667,0
BALL,0.10703769916055228,0.08654303315089018,0.188412562647594,0.14725189167394162,0.6905996787993208,0.26459060229017206,0
BAX,0.09857489162992097,0.07490962146103436,0.15869849002436068,0.14098381158239,0.7801417785506621,0.38595238810745347,0
BBWI,0.0016602051892390113,0.40128130542319607,0.43208296159739357,0.7411186340230554,0.11639783135317472,0.6037963525938708,1
BBY,0.11131402282638078,0.2657023364703266,0.29785359422733393,0.3732470289292169,0.6587886653323269,0.5067206017334975,1
BDX,0.06923864071037697,0.07669876585570223,0.17406190891657852,0.135131624119003,0.6817780282167745,0.43941301624552453,0
BEN,0.01894856345975285,0.12058933829747948,0.21820935264879562,0.3386061646139625,0.20235435104670219,0.5339304967043037,2
BF-B,0.0934145205722304,0.1037171531024107,0.19340816454799117,0.16223087578541345,0.7375202446499787,0.3319233580014078,0
BG,0.016539620587570303,0.17327104835850377,0.24136667456684271,0.34986281278390763,0.30726267407804103,0.32087634555145683,2
BIIB,0.03222724061987814,0.2904547917665898,0.27385595941573504,0.4049048331058075,0.38777241266152496,0.32081742518281775,2
BIO,0.09593913554605099,0.1856761506527373,0.23968886868674125,0.2765379916121367,0.667273605199971,0.5013247371363296,0
BK,0.024837009739996557,0.08907395431328619,0.18219156074086326,0.21495334621762152,0.42266062720680747,0.4032227942208417,2
BKNG,0.04880802444980967,0.13185278986837867,0.18868482713099585,0.2089440451545464,0.533705818968548,0.4564531171618313,2
BKR,0.0,0.22342618849589824,0.35675909114254056,0.5121340369140436,0.1863869970749268,0.48761627791759865,1
BLK,0.055910680789839406,0.09494577748481836,0.18520141539172894,0.3343326157953816,0.5556801256115983,0.5431176712901172,2
BMY,0.020899106963882974,0.14304992119266235,0.22007866855879252,0.3067876310304491,0.4393914767780134,0.328727556834198,2
BR,0.10343670890145631,0.08794811703392819,0.17071565690739662,0.27971674527852747,0.7576846957087391,0.4050525660884525,0
BRK-B,0.03964967997193694,0.04217037801403323,0.1189687010241069,0.08526329838306945,0.5815068643323624,0.3650756615302736,0
BRO,0.08054006142095776,0.023941513978900236,0.1392151937561977,0.09091263629386212,0.8185647875157855,0.3496774442875955,0
BSX,0.09815048749089056,0.1317395374800543,0.2170519666013306,0.11595335020645992,0.7264932059811444,0.45470319123188097,0
BWA,0.0461659127737262,0.19250207470777275,0.27675744587196827,0.4264966482565403,0.4161580216854501,0.6229916303195001,1
BXP,0.01953160582883126,0.050215611758558015,0.16867349359238418,0.11233227273218302,0.45919677760541133,0.27959008368197147,2
C,0.04298466648959709,0.11113655766245406,0.2044815779421181,0.3301932454990444,0.544203465161107,0.6070904744565553,2
CAG,0.005606399857623012,0.19535859971349834,0.2257492581664783,0.45303561016066984,0.3336622556488361,0.35437565404162474,2
CAH,0.013419547785123831,0.202427421751594,0.267536643253356,0.43429725424192145,0.2512185335688984,0.3932444089776884,2
CAT,0.08258132757119496,0.17272558293873386,0.23334910302115683,0.2833656118610729,0.6082141163308898,0.5771595941174297,2
CB,0.030957619587518442,0.03427501517702533,0.14263635562088242,0.14615132933927913,0.5206612670186376,0.2948341503197185,2
CBOE,0.08405773421426624,0.08777044504068254,0.23230725378563968,0.27915957429062155,0.6697680817568645,0.13322887173565856,0
CBRE,0.08799329725526406,0.10882080867488614,0.2076608594514668,0.18541483944970522,0.7188311380790349,0.5187767966807072,0
CCI,0.08315665701929925,0.057695253015571796,0.1795206271704722,0.033381340862830955,0.7571559787675552,0.1492974402374358,0
CCL,0.041626614782902194,0.13047388266850185,0.1841956280542196,0.3727872247609245,0.3918390974747298,0.44284860282193184,2
CDAY,0.11140077630811407,0.3311900846493877,0.469238865823709,0.22182283272812925,0.8246018157327579,0.5376128098104402,0
CDNS,0.16621372890117095,0.16237984578715997,0.2200799576051458,0.1508908956079109,0.8346244848594447,0.618202080958435,0
CDW,0.1588272007316925,0.132608996771867,0.22445880557422918,0.14835041118895714,0.8893900480414649,0.47122232496064986,0
CE,0.06728498316392556,0.1213234676702103,0.21782051754991974,0.22547288995687015,0.6074739851902591,0.5376240126130577,2
CF,0.08120047363217434,0.2686616114698824,0.3697683399909176,0.24953739368006767,0.5432549204334919,0.5116807057366617,2
CFG,0.03630367804671153,0.15074376980483828,0.25854596547603526,0.3659548290113859,0.45586351989983787,0.5044404667958965,2
CHD,0.08305511978087618,0.08120132810579078,0.16880645658970597,0.12113961474869395,0.6618172598826114,0.14579265353607107,0
CHRW,0.04297282892760956,0.12062168860288491,0.2108612709074185,0.17442244559805686,0.43413988688381155,0.34024398449706617,2
